ids,names,mean,description
11457,Chibi☆Devi!,6.76,"Sawada Honoka is a 14-year-old girl who is very timid. She easily gets bullied by other classmates. Honoka is a non-believer in God, Angels, and Devils. Though one day, a devil baby was dropped into her room while she was sleeping. What will Honoka believe in now?

(Source: PocketScans)"
11465,Tsuma no Haha Sayuri,6.53,"The main character is a white-collar worker. He has a wife, but she runs away from home. When he is at a loss what to do, Sayuri, his wife's mother, reaches out for him, ""I'll replace her... Please..."" As he lives with her, he gradually falls in love with her, and so does she...

(Source: VNDB)"
11467,TSF Monogatari,6.65,"Takumi Musashino was once an ordinary high school boy, but that changed when his body transformed into that of an alluring high school girl thanks to an experimental gene therapy treatment he received after being diagnosed with a terminal illness. She astonishes her classmates with her new body, receiving mixed reactions from them. While girls like Anri Sogahara offer her important adjustment advice, her male peers begin to see her as an object of their desires...

Although Takumi is both confused and nervous about her new being and appearance, she will soon discover the wonderful pleasures of being a young, adolescent woman. 

[Written by MAL Rewrite]"
11469,BaBuKa: Gokudou no Tsuma,5.73,The sexual adventures of various mature women.
11471,Dororo Pilot,5.78,"Before producing a TV series, a pilot film was made to let sponsors and television stations grasp the work's pervasive quality. This is the pilot film for ""Dororo"" in which the characters are closer to those of the original story compared to the characters in the TV series. The faces and personalities of the characters in the TV series are altered from time to time to gain popularity among its viewers. As a result, sometimes viewers really loved it, but at other times it didn't go over as well. The pilot for ""Dororo"" was made in color, but the TV series was monochrome due to a tighter budget. The story depicts a journey in which the boy thief named Dororo and a cursed man called Hyakkimaru destroy monsters. Hyakkimaru can be a complete ""human"" only after he destroys 48 devils.

(Source: Official site)"
11483,Redline Pilot,6.7,Pilot episode for the movie.
11487,Sekiranun Graffiti,6.94,"Following up the release of its first full-length record in the U.S., Sony Music Direct (Japan), Inc., a division of Sony Music Entertainment Japan, Inc., has announced the U.S. release of a brand new EP by the Japanese pop artist/group, Ryo (Supercell). 

The EP's title track, ""SEKIRANUN GRAFFITI"" (SEKIRANUN means Thundercloud), is also the theme music to the latest Hatsune Miku PROJECT DIVA arcade console game and video game for the PSP, which will be released in Japan this fall. The release also contains the new single, ""Fallin' Fallin' Fallin',"" which was composed by Ryo and the celebrated Japanese Vocaloid producer known as Dixie Flatline. The SEKIRANUN GRAFFITI EP also contains instrumental and remixes of the two tracks. Cover art for the new release was created by Atsuya Uki."
11491,Recorder to Randoseru Do♪,6.68,"Miyagawa Atsushi is an 11-year-old boy who is 180 centimeters tall. Since he has a grown-up looking build but acts his age, he has always been running into troubles. On the other hand, his 17-year-old elder sister Atsumi is only 137 centimeters tall. Even though she has a childish looking build, Atsumi takes good care of Atsushi. "
11497,Sore Ike! Zukkoke Sannin-gumi,,"Based on Nasu Masamoto's Zukkoke Sannin-gumi juvenile novels series.

The main characters are 6 grade boys, Hachibei, Hakase, and Mo-chan. This anime shows their adventures.

(Source: AnimeNfo)"
11499,Sankarea,7.34,"Ever since he was a child, zombie-obsessed Chihiro Furuya has wanted an undead girlfriend. Soon enough, his love for all things zombie comes in handy when his cat Baabu gets run over, prompting Chihiro to try to make a resurrection potion and bring him back to life. During his endeavor, he sees a rich girl named Rea Sanka yelling into an old well every day about her oppressive life. After meeting and bonding with her, Chihiro is convinced by Rea to persevere in saving Baabu. Eventually, he succeeds with the help of the poisonous hydrangea flowers from Rea's family garden.

Unaware of the potion's success and seeking to escape the burdens of her life, Rea drinks the resurrection potion, mistakenly thinking she will die. Though it doesn't kill her, the effects still linger and her death from a fatal accident causes her to be reborn as a zombie. With help from Chihiro, Rea strives to adjust to her new—albeit undead—life. 

For a boy wanting a zombie girlfriend, this situation would seem like a dream come true. But in Sankarea, Chihiro's life becomes stranger than usual as he deals with Rea's odd new cravings and the unforeseen consequences of her transformation.

[Written by MAL Rewrite]"
11505,Kiss Dum: Omokage,6.03,Special included with the Blu-ray Box Set. 
11507,Kami nomi zo Shiru Sekai: Nonstop!! Hunters,6.56,DVD bundled with the limited edition of the Greetings from Special Agents Elucia de Lute Ima and Haqua du Lot Herminium album.
